gid,state,nome,WIKIDATA,ISO 3166-2 code,MS_FB,MS_FB_PARE
127,52,Goiás,Q53657950,BR-GO,country:br/senate-ed:go,country:br
87,35,São Paulo,Q53657907,BR-SP,country:br/senate-ed:sp,country:br
47,26,Pernambuco,Q53657929,BR-PE,country:br/senate-ed:pe,country:br
3,12,Acre,Q53658013,BR-AC,country:br/senate-ed:ac,country:br
5,13,Amazonas,Q53657952,BR-AM,country:br/senate-ed:am,country:br
23,21,Maranhão,Q53657948,BR-MA,country:br/senate-ed:ma,country:br
11,15,Pará,Q53657934,BR-PA,country:br/senate-ed:pa,country:br
1,11,Rondônia,Q53658005,BR-RO,country:br/senate-ed:ro,country:br
20,17,Tocantins,Q53658010,BR-TO,country:br/senate-ed:to,country:br
133,53,Federal District,Q53657989,BR-DF,country:br/senate-ed:df,country:br
119,50,Mato Grosso do Sul,Q53657992,BR-MS,country:br/senate-ed:ms,country:br
65,31,Minas Gerais,Q53657910,BR-MG,country:br/senate-ed:mg,country:br
122,51,Mato Grosso,Q53657975,BR-MT,country:br/senate-ed:mt,country:br
111,43,Rio Grande do Sul,Q53657921,BR-RS,country:br/senate-ed:rs,country:br
98,41,Paraná,Q53657927,BR-PR,country:br/senate-ed:pr,country:br
104,42,Santa Catarina,Q53657946,BR-SC,country:br/senate-ed:sc,country:br
34,23,Ceará,Q53657932,BR-CE,country:br/senate-ed:ce,country:br
28,22,Piauí,Q53657985,BR-PI,country:br/senate-ed:pi,country:br
51,27,Alagoas,Q53657971,BR-AL,country:br/senate-ed:al,country:br
55,29,Bahia,Q53657914,BR-BA,country:br/senate-ed:ba,country:br
78,32,Espírito Santo,Q53657965,BR-ES,country:br/senate-ed:es,country:br
43,25,Paraíba,Q53657959,BR-PB,country:br/senate-ed:pb,country:br
82,33,Rio de Janeiro,Q53657912,BR-RJ,country:br/senate-ed:rj,country:br
40,24,Rio Grande do Norte,Q53657969,BR-RN,country:br/senate-ed:rn,country:br
53,28,Sergipe,Q53657995,BR-SE,country:br/senate-ed:se,country:br
9,14,Roraima,Q53658018,BR-RR,country:br/senate-ed:rr,country:br
18,16,Amapá,Q53658016,BR-AP,country:br/senate-ed:ap,country:br
